year,month,ts,fishery,metric,units,value,se
1952,2,1,15,cpue,2,2.78968180046732,0.465445615716135
1952,5,2,15,cpue,2,2.10065425073685,0.365517249226077
1952,8,3,15,cpue,2,2.75758679283548,0.394883523116446
1952,11,4,15,cpue,2,2.43796518303293,0.301094941916339
1953,2,5,15,cpue,2,2.18890892142081,0.354897744396346
1953,5,6,15,cpue,2,1.81085970159138,0.422610159129721
1953,8,7,15,cpue,2,2.09271976846295,0.416755906794254
1953,11,8,15,cpue,2,2.09901031433046,0.287134362811008
1954,2,9,15,cpue,2,1.62911701364149,0.298959969239664
1954,5,10,15,cpue,2,1.38474918873412,0.320924876895341
1954,8,11,15,cpue,2,1.93550377217049,0.284956563642405
1954,11,12,15,cpue,2,2.07066945174236,0.243100593358171
1955,2,13,15,cpue,2,2.1781173713904,0.212928815779034
1955,5,14,15,cpue,2,1.7901059600402,0.26640549307462
1955,8,15,15,cpue,2,2.03199753180419,0.242044075834962
1955,11,16,15,cpue,2,2.27260130578802,0.172230784836912
1956,2,17,15,cpue,2,2.35125943311887,0.18781516861299
1956,5,18,15,cpue,2,1.56561932817609,0.284933415206791
1956,8,19,15,cpue,2,2.16592770445376,0.24873740723225
1956,11,20,15,cpue,2,2.5167196133559,0.171308350842503
1957,2,21,15,cpue,2,2.73074491769615,0.203453217268412
1957,5,22,15,cpue,2,2.06462334118975,0.243764365271196
1957,8,23,15,cpue,2,2.15635580134077,0.220444333961554
1957,11,24,15,cpue,2,2.4734572174471,0.18693356142229
1958,2,25,15,cpue,2,2.80569104365339,0.209554100573101
1958,5,26,15,cpue,2,2.22765352860367,0.244521305847442
1958,8,27,15,cpue,2,2.17808288952216,0.2365227200298
1958,11,28,15,cpue,2,2.22147745336329,0.219592122200771
1959,2,29,15,cpue,2,2.37217452105457,0.226051530043236
1959,5,30,15,cpue,2,1.48465631536362,0.233778605992121
1959,8,31,15,cpue,2,1.58630173649613,0.24207244940417
1959,11,32,15,cpue,2,1.92996235163552,0.198697985533739
1960,2,33,15,cpue,2,1.74895737553268,0.198855087535549
1960,5,34,15,cpue,2,1.40591265898663,0.199638268538746
1960,8,35,15,cpue,2,1.59289091903022,0.2257172193167
1960,11,36,15,cpue,2,1.60755502612677,0.213257866357563
1961,2,37,15,cpue,2,1.71011639081464,0.205626958518689
1961,5,38,15,cpue,2,1.39867769608678,0.22336211226865
1961,8,39,15,cpue,2,1.15522225454439,0.236694966202333
1961,11,40,15,cpue,2,1.55949688398157,0.224056388130522
1962,2,41,15,cpue,2,1.28764985441195,0.195430261037959
1962,5,42,15,cpue,2,1.3844036742482,0.186451994339497
1962,8,43,15,cpue,2,1.25878756621197,0.19821332576389
1962,11,44,15,cpue,2,1.47155605351804,0.16279695868511
1963,2,45,15,cpue,2,1.49096544042202,0.169780515515333
1963,5,46,15,cpue,2,1.31989691202894,0.178317579826689
1963,8,47,15,cpue,2,1.20146245400997,0.185206966742818
1963,11,48,15,cpue,2,1.33403343672375,0.161737316505628
1964,2,49,15,cpue,2,1.44612327621145,0.16594520889241
1964,5,50,15,cpue,2,1.12929771522768,0.193041219542441
1964,8,51,15,cpue,2,0.977617004524973,0.160656616939198
1964,11,52,15,cpue,2,1.24873997150955,0.140760838944821
1965,2,53,15,cpue,2,1.51253842623433,0.165968063897611
1965,5,54,15,cpue,2,1.06082530658363,0.166773987290473
1965,8,55,15,cpue,2,1.15052988284079,0.161496680739605
1965,11,56,15,cpue,2,1.35440726000758,0.145404389802403
1966,2,57,15,cpue,2,1.49930480737784,0.165931500420951
1966,5,58,15,cpue,2,1.04495283259544,0.186529833477031
1966,8,59,15,cpue,2,1.18492342276223,0.18421119990105
1966,11,60,15,cpue,2,1.34782242388907,0.166815752876087
1967,2,61,15,cpue,2,1.51176361924366,0.172036957912814
1967,5,62,15,cpue,2,1.13236165133034,0.167460113783445
1967,8,63,15,cpue,2,1.06366653063072,0.169051093587602
1967,11,64,15,cpue,2,1.25714034606584,0.161106360061778
1968,2,65,15,cpue,2,1.19783452727854,0.17273884829203
1968,5,66,15,cpue,2,0.923743520073661,0.17796141028505
1968,8,67,15,cpue,2,0.86264208434702,0.177344611042724
1968,11,68,15,cpue,2,1.24424772616513,0.166950544648219
1969,2,69,15,cpue,2,1.52099131188224,0.160868525647306
1969,5,70,15,cpue,2,1.00343327711667,0.185531849326237
1969,8,71,15,cpue,2,1.17802481842398,0.163979031272601
1969,11,72,15,cpue,2,1.27877493093577,0.171945373296332
1970,2,73,15,cpue,2,1.2303551852601,0.162238912773516
1970,5,74,15,cpue,2,0.810056781696682,0.181139013782981
1970,8,75,15,cpue,2,0.684463758945978,0.17170186098758
1970,11,76,15,cpue,2,1.07623763726555,0.166904027821279
1971,2,77,15,cpue,2,0.965377958835851,0.170892572969401
1971,5,78,15,cpue,2,0.860811611666177,0.182661824846058
1971,8,79,15,cpue,2,0.775675251386653,0.187702631590891
1971,11,80,15,cpue,2,1.10718747913351,0.16856521336596
1972,2,81,15,cpue,2,1.24820345311778,0.168036028975818
1972,5,82,15,cpue,2,0.964808944246351,0.192006399602381
1972,8,83,15,cpue,2,1.0877857624437,0.191583040301909
1972,11,84,15,cpue,2,1.14527905876379,0.171711986683422
1973,2,85,15,cpue,2,1.2390260010759,0.157622219046306
1973,5,86,15,cpue,2,0.887727144249987,0.200479113068316
1973,8,87,15,cpue,2,0.792531123049569,0.186109366883768
1973,11,88,15,cpue,2,0.837192757148165,0.174806333014212
1974,2,89,15,cpue,2,0.81907557323006,0.167558824840319
1974,5,90,15,cpue,2,0.756068304669316,0.185302343206543
1974,8,91,15,cpue,2,0.782718689712039,0.171793056799333
1974,11,92,15,cpue,2,0.925990025417744,0.159156008346651
1975,2,93,15,cpue,2,0.902262312334781,0.164328497268699
1975,5,94,15,cpue,2,0.833594683354694,0.195117484782855
1975,8,95,15,cpue,2,0.853499830880228,0.184348888892988
1975,11,96,15,cpue,2,1.16066034206545,0.166801827527626
1976,2,97,15,cpue,2,1.01899169645841,0.161139824823335
1976,5,98,15,cpue,2,0.982793326992745,0.183756523730434
1976,8,99,15,cpue,2,0.839728283512292,0.165968063897611
1976,11,100,15,cpue,2,0.957916586421947,0.161349453143824
1977,2,101,15,cpue,2,0.926904436575689,0.170351122288298
1977,5,102,15,cpue,2,0.959094078772755,0.208876336420414
1977,8,103,15,cpue,2,1.0192169520146,0.1941222136552
1977,11,104,15,cpue,2,1.41794830595182,0.177697082307246
1978,2,105,15,cpue,2,1.11207128419191,0.163430605374959
1978,5,106,15,cpue,2,0.93581732338683,0.212332684139041
1978,8,107,15,cpue,2,0.736519123385355,0.190626773857379
1978,11,108,15,cpue,2,0.974371016037209,0.172486821332129
1979,2,109,15,cpue,2,0.972521415630231,0.167507097283285
1979,5,110,15,cpue,2,0.826705830731213,0.177439515640386
1979,8,111,15,cpue,2,0.928440964572901,0.16816904672828
1979,11,112,15,cpue,2,1.09078337453481,0.166192543875022
1980,2,113,15,cpue,2,0.947981655832074,0.156740673091507
1980,5,114,15,cpue,2,0.822398012030086,0.201682554993149
1980,8,115,15,cpue,2,0.748335227890678,0.200350297891389
1980,11,116,15,cpue,2,0.67240243970125,0.185022989138266
1981,2,117,15,cpue,2,0.67182055304339,0.173878913841769
1981,5,118,15,cpue,2,0.509764161979457,0.212131901147041
1981,8,119,15,cpue,2,0.581117068589566,0.201805738896296
1981,11,120,15,cpue,2,0.776582223441642,0.190398564793308
1982,2,121,15,cpue,2,0.68978490902272,0.161640088467922
1982,5,122,15,cpue,2,0.610281572670563,0.180096014231549
1982,8,123,15,cpue,2,0.759190736230412,0.213598193786755
1982,11,124,15,cpue,2,0.879333688327514,0.193604849565418
1983,2,125,15,cpue,2,0.756114684170428,0.179300977161845
1983,5,126,15,cpue,2,0.771805945281202,0.225441667555425
1983,8,127,15,cpue,2,0.706403918095807,0.214392100912317
1983,11,128,15,cpue,2,0.836751785841791,0.220712692226551
1984,2,129,15,cpue,2,0.750176651394917,0.17365328415544
1984,5,130,15,cpue,2,0.661373949563461,0.236377266707983
1984,8,131,15,cpue,2,0.750471349239632,0.216309897377257
1984,11,132,15,cpue,2,0.74660715127337,0.197200843113266
1985,2,133,15,cpue,2,0.734602923747069,0.156525464417791
1985,5,134,15,cpue,2,0.660129935866727,0.205133088582842
1985,8,135,15,cpue,2,0.727961671306796,0.215554648729999
1985,11,136,15,cpue,2,0.807822698808737,0.203100380472769
1986,2,137,15,cpue,2,0.773216286668921,0.189195142848213
1986,5,138,15,cpue,2,0.70493309751966,0.23256132702114
1986,8,139,15,cpue,2,0.719288340468659,0.237133902780412
1986,11,140,15,cpue,2,0.94192171034494,0.217545283860427
1987,2,141,15,cpue,2,0.891021784653475,0.187841677345825
1987,5,142,15,cpue,2,0.87715628853294,0.236721499039929
1987,8,143,15,cpue,2,0.907552660621501,0.215956461393619
1987,11,144,15,cpue,2,0.866769929380377,0.193866657266114
1988,2,145,15,cpue,2,0.765286260885022,0.183781350349024
1988,5,146,15,cpue,2,0.588110701959826,0.256777656987773
1988,8,147,15,cpue,2,0.579418999514698,0.232762886317835
1988,11,148,15,cpue,2,0.695697060817061,0.207585028265159
1989,2,149,15,cpue,2,0.647645666228893,0.20451431063198
1989,5,150,15,cpue,2,0.604987401427125,0.204351953816431
1989,8,151,15,cpue,2,0.633693439913792,0.207997797416113
1989,11,152,15,cpue,2,0.973305305261482,0.174258689835705
1990,2,153,15,cpue,2,0.872315902383047,0.183348331868564
1990,5,154,15,cpue,2,0.77472375858963,0.198509953810183
1990,8,155,15,cpue,2,0.942646788829292,0.203436373791486
1990,11,156,15,cpue,2,1.06650729538125,0.19359759226472
1991,2,157,15,cpue,2,1.02441260792523,0.214599378196795
1991,5,158,15,cpue,2,0.799854387399715,0.19501355933235
1991,8,159,15,cpue,2,0.784296015164844,0.190592143967143
1991,11,160,15,cpue,2,0.859528074813716,0.175721615418076
1992,2,161,15,cpue,2,1.03989090034829,0.170316525866276
1992,5,162,15,cpue,2,0.869248287850332,0.178408376659805
1992,8,163,15,cpue,2,0.820231489808215,0.181222286441349
1992,11,164,15,cpue,2,1.00856148151387,0.169516837064045
1993,2,165,15,cpue,2,0.959051897941602,0.168785985136673
1993,5,166,15,cpue,2,0.883589276952528,0.179036382587684
1993,8,167,15,cpue,2,0.792722821860183,0.196620514580765
1993,11,168,15,cpue,2,0.783619338529901,0.180142767230396
1994,2,169,15,cpue,2,0.702543696978498,0.180700757517659
1994,5,170,15,cpue,2,0.717489053843194,0.194651123917425
1994,8,171,15,cpue,2,0.774344208129575,0.196932948948609
1994,11,172,15,cpue,2,0.856116874780423,0.189596016138451
1995,2,173,15,cpue,2,0.818109021245761,0.176097236612504
1995,5,174,15,cpue,2,0.59246693195178,0.201592363388135
1995,8,175,15,cpue,2,0.565224064405406,0.218061992370867
1995,11,176,15,cpue,2,0.617370332053533,0.2011594938253
1996,2,177,15,cpue,2,0.639136722480805,0.202732704135361
1996,5,178,15,cpue,2,0.658615028140667,0.198408325957122
1996,8,179,15,cpue,2,0.601296006933482,0.210508555448508
1996,11,180,15,cpue,2,0.838177700356707,0.218020520100668
1997,2,181,15,cpue,2,0.813465743970778,0.18350262969938
1997,5,182,15,cpue,2,0.753851619964687,0.209333562606961
1997,8,183,15,cpue,2,0.85158347032631,0.191246362084164
1997,11,184,15,cpue,2,1.21901054053284,0.189262908502396
1998,2,185,15,cpue,2,1.16869146380272,0.170011017826343
1998,5,186,15,cpue,2,0.885775097264669,0.165408556905674
1998,8,187,15,cpue,2,0.80777415349652,0.196856608104648
1998,11,188,15,cpue,2,0.816512160176488,0.176354478208992
1999,2,189,15,cpue,2,0.65649871769062,0.207450960130658
1999,5,190,15,cpue,2,0.589589579802322,0.196165962633567
1999,8,191,15,cpue,2,0.60875733315469,0.200294019292587
1999,11,192,15,cpue,2,0.707910278433954,0.211372199920594
2000,2,193,15,cpue,2,0.592246248749105,0.212036490224431
2000,5,194,15,cpue,2,0.636217652112415,0.189405453754112
2000,8,195,15,cpue,2,0.712679674910146,0.213685970289412
2000,11,196,15,cpue,2,0.68218004899435,0.209526495195535
2001,2,197,15,cpue,2,0.596178628242619,0.194665877655861
2001,5,198,15,cpue,2,0.5377267307923,0.186594773958438
2001,8,199,15,cpue,2,0.53998310936137,0.209388631801398
2001,11,200,15,cpue,2,0.579846462578758,0.20452286645275
2002,2,201,15,cpue,2,0.72916843217178,0.162974155866635
2002,5,202,15,cpue,2,0.657126496753028,0.180113542339454
2002,8,203,15,cpue,2,0.745423007538236,0.19230442685527
2002,11,204,15,cpue,2,0.872016062750321,0.179763949572114
2003,2,205,15,cpue,2,0.812535770069349,0.163701935647254
2003,5,206,15,cpue,2,0.567062478139858,0.185487156340072
2003,8,207,15,cpue,2,0.560453277302092,0.201371496074515
2003,11,208,15,cpue,2,0.64838954879274,0.181886610646268
2004,2,209,15,cpue,2,0.682760243682146,0.159739775045837
2004,5,210,15,cpue,2,0.711662542982996,0.15857859577163
2004,8,211,15,cpue,2,0.769304885031705,0.172997160954422
2004,11,212,15,cpue,2,0.790953207145471,0.186887847896143
2005,2,213,15,cpue,2,0.694156298590885,0.158455111755849
2005,5,214,15,cpue,2,0.542264760020256,0.176866828541813
2005,8,215,15,cpue,2,0.599730394630621,0.208331600519094
2005,11,216,15,cpue,2,0.745133149221428,0.202176649575734
2006,2,217,15,cpue,2,0.635530888944681,0.171162734305407
2006,5,218,15,cpue,2,0.569858541087395,0.196188615389268
2006,8,219,15,cpue,2,0.685544016030869,0.220123592830297
2006,11,220,15,cpue,2,0.832828294033001,0.191836719286233
2007,2,221,15,cpue,2,0.779555494888244,0.163548599373813
2007,5,222,15,cpue,2,0.522338369036576,0.179024905034998
2007,8,223,15,cpue,2,0.641766326944585,0.203495344274539
2007,11,224,15,cpue,2,0.707264699489212,0.206952725033142
2008,2,225,15,cpue,2,0.574855089036687,0.182037243991101
2008,5,226,15,cpue,2,0.558326789073284,0.184883785119076
2008,8,227,15,cpue,2,0.54788352491053,0.201740012729975
2008,11,228,15,cpue,2,0.720763346973475,0.173836869624986
2009,2,229,15,cpue,2,0.588906449799753,0.1772721396117
2009,5,230,15,cpue,2,0.461489635483384,0.182315390069949
2009,8,231,15,cpue,2,0.558238143720069,0.184902748983258
2009,11,232,15,cpue,2,0.717242067392469,0.192013479391533
2010,2,233,15,cpue,2,0.628570063134982,0.184236211313255
2010,5,234,15,cpue,2,0.422332911878783,0.171585544100219
2010,8,235,15,cpue,2,0.423766362892231,0.211979305442597
2010,11,236,15,cpue,2,0.511876056771578,0.207023681695404
2011,2,237,15,cpue,2,0.570618389388034,0.184142471013024
2011,5,238,15,cpue,2,0.503087265334545,0.17984533910093
2011,8,239,15,cpue,2,0.490481526016642,0.192668189930457
2011,11,240,15,cpue,2,0.626619755831526,0.199861458599447
2012,2,241,15,cpue,2,0.593614719032874,0.174854431014909
2012,5,242,15,cpue,2,0.504420202617849,0.191512752356121
2012,8,243,15,cpue,2,0.520223584999442,0.207486686227145
2012,11,244,15,cpue,2,0.549694468462185,0.196848978903038
2013,2,245,15,cpue,2,0.528758772019682,0.206168222371402
2013,5,246,15,cpue,2,0.376019823886255,0.189466643263602
2013,8,247,15,cpue,2,0.401575044437589,0.211306113820067
2013,11,248,15,cpue,2,0.639765028989713,0.193859370480392
2014,2,249,15,cpue,2,0.715994686572358,0.167685995948211
2014,5,250,15,cpue,2,0.56063980354403,0.173716162198113
2014,8,251,15,cpue,2,0.689399978595195,0.207424177668245
2014,11,252,15,cpue,2,0.955299866485445,0.176348993239461
2015,2,253,15,cpue,2,0.898746763482845,0.156902663446206
2015,5,254,15,cpue,2,0.645191870885696,0.177680250276596
2015,8,255,15,cpue,2,0.649994523328285,0.198973158932044
2015,11,256,15,cpue,2,0.844135486945306,0.161446157311184
2016,2,257,15,cpue,2,0.677611593501729,0.179520442461125
2016,5,258,15,cpue,2,0.475446131300909,0.205757518376634
2016,8,259,15,cpue,2,0.479022435351213,0.209812278139916
2016,11,260,15,cpue,2,0.716573616206409,0.195206696127879
2017,2,261,15,cpue,2,0.5891042156916,0.170514504177842
2017,5,262,15,cpue,2,0.432830948305044,0.20053554790629
2017,8,263,15,cpue,2,0.448388881113009,0.190502194516
2017,11,264,15,cpue,2,0.570707155957522,0.187201987476501
2018,2,265,15,cpue,2,0.608003252642028,0.182606993290572
2018,5,266,15,cpue,2,0.469497132381615,0.18828069859994
2018,8,267,15,cpue,2,0.456397409717703,0.206819877749797
2018,11,268,15,cpue,2,0.520609048416624,0.191829659033441
